movieNm,actCd,actNm,actRl,act_viewer,act_point
쥬만지: 새로운 세계,10060900,잭 블랙,배우,1367255.0714285714,7.640625000000001
벽 속에 숨은 마법시계,10060900,잭 블랙,배우,1367255.0714285714,7.640625000000001
구스범스,10013651,딜런 미네트,배우,514631.5,7.545
구스범스,10057870,오데야 러쉬,배우,687837.0,8.08
그날의 분위기,10026825,문채원,배우,2125868.333333333,7.6971428571428575
명당,10026825,문채원,배우,2125868.333333333,7.6971428571428575
그날의 분위기,10026825,문채원,배우,2125868.333333333,7.6971428571428575
명당,10026825,문채원,배우,2125868.333333333,7.6971428571428575
오빠생각,20171222,임시완,배우,808519.25,7.974000000000001
원라인,20171222,임시완,배우,808519.25,7.974000000000001
불한당: 나쁜 놈들의 세상,20171222,임시완,배우,808519.25,7.974000000000001
오빠생각,20171222,임시완,배우,808519.25,7.974000000000001
원라인,20171222,임시완,배우,808519.25,7.974000000000001
불한당: 나쁜 놈들의 세상,20171222,임시완,배우,808519.25,7.974000000000001
오빠생각,20171222,임시완,배우,808519.25,7.974000000000001
원라인,20171222,임시완,배우,808519.25,7.974000000000001
불한당: 나쁜 놈들의 세상,20171222,임시완,배우,808519.25,7.974000000000001
오빠생각,10001670,고아성,배우,3070053.625,8.032
오빠생각,10058320,이희준,배우,1672119.5,7.688571428571429
"로봇, 소리",10058320,이희준,배우,1672119.5,7.688571428571429
미옥,10058320,이희준,배우,1672119.5,7.688571428571429
1987,10058320,이희준,배우,1672119.5,7.688571428571429
미쓰백,10058320,이희준,배우,1672119.5,7.688571428571429
오빠생각,10058320,이희준,배우,1672119.5,7.688571428571429
"로봇, 소리",10058320,이희준,배우,1672119.5,7.688571428571429
미옥,10058320,이희준,배우,1672119.5,7.688571428571429
1987,10058320,이희준,배우,1672119.5,7.688571428571429
미쓰백,10058320,이희준,배우,1672119.5,7.688571428571429
오빠생각,10058320,이희준,배우,1672119.5,7.688571428571429
"로봇, 소리",10058320,이희준,배우,1672119.5,7.688571428571429
미옥,10058320,이희준,배우,1672119.5,7.688571428571429
1987,10058320,이희준,배우,1672119.5,7.688571428571429
미쓰백,10058320,이희준,배우,1672119.5,7.688571428571429
오빠생각,10058320,이희준,배우,1672119.5,7.688571428571429
"로봇, 소리",10058320,이희준,배우,1672119.5,7.688571428571429
미옥,10058320,이희준,배우,1672119.5,7.688571428571429
1987,10058320,이희준,배우,1672119.5,7.688571428571429
미쓰백,10058320,이희준,배우,1672119.5,7.688571428571429
오빠생각,10058320,이희준,배우,1672119.5,7.688571428571429
"로봇, 소리",10058320,이희준,배우,1672119.5,7.688571428571429
미옥,10058320,이희준,배우,1672119.5,7.688571428571429
1987,10058320,이희준,배우,1672119.5,7.688571428571429
미쓰백,10058320,이희준,배우,1672119.5,7.688571428571429
빅쇼트,10077325,크리스찬 베일,배우,1036538.05,8.225714285714286
몬태나,10077325,크리스찬 베일,배우,1036538.05,8.225714285714286
빅쇼트,10077325,크리스찬 베일,배우,1036538.05,8.225714285714286
몬태나,10077325,크리스찬 베일,배우,1036538.05,8.225714285714286
빅쇼트,10039193,스티브 카렐,배우,564107.0,8.024666666666667
슈퍼배드 3,10039193,스티브 카렐,배우,564107.0,8.024666666666667
빅쇼트,10039193,스티브 카렐,배우,564107.0,8.024666666666667
슈퍼배드 3,10039193,스티브 카렐,배우,564107.0,8.024666666666667
빅쇼트,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
라라랜드,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
송 투 송,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
블레이드 러너 2049,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
퍼스트맨,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
빅쇼트,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
라라랜드,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
송 투 송,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
블레이드 러너 2049,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
퍼스트맨,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
빅쇼트,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
라라랜드,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
송 투 송,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
블레이드 러너 2049,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
퍼스트맨,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
빅쇼트,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
라라랜드,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
송 투 송,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
블레이드 러너 2049,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
퍼스트맨,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
빅쇼트,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
라라랜드,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
송 투 송,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
블레이드 러너 2049,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
퍼스트맨,10014012,라이언 고슬링,배우,420509.35714285716,7.537500000000001
빅쇼트,10032084,브래드 피트,배우,671136.7391304348,8.061935483870968
얼라이드,10032084,브래드 피트,배우,671136.7391304348,8.061935483870968
빅쇼트,10032084,브래드 피트,배우,671136.7391304348,8.061935483870968
얼라이드,10032084,브래드 피트,배우,671136.7391304348,8.061935483870968
스티브 잡스,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
엑스맨: 아포칼립스,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
어쌔신 크리드,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
파도가 지나간 자리,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
에이리언: 커버넌트,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
스티브 잡스,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
엑스맨: 아포칼립스,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
어쌔신 크리드,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
파도가 지나간 자리,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
에이리언: 커버넌트,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
스티브 잡스,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
엑스맨: 아포칼립스,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
어쌔신 크리드,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
파도가 지나간 자리,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
에이리언: 커버넌트,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
스티브 잡스,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
엑스맨: 아포칼립스,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
어쌔신 크리드,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
파도가 지나간 자리,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
에이리언: 커버넌트,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
스티브 잡스,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
엑스맨: 아포칼립스,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
어쌔신 크리드,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
파도가 지나간 자리,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
에이리언: 커버넌트,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
스티브 잡스,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
엑스맨: 아포칼립스,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
어쌔신 크리드,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
파도가 지나간 자리,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
에이리언: 커버넌트,20112618,마이클 패스벤더,배우,658172.0454545454,7.59894736842105
스티브 잡스,10075742,케이트 윈슬렛,배우,189962.35,8.107272727272727
드레스메이커,10075742,케이트 윈슬렛,배우,189962.35,8.107272727272727
트리플 9,10075742,케이트 윈슬렛,배우,189962.35,8.107272727272727
스티브 잡스,10075742,케이트 윈슬렛,배우,189962.35,8.107272727272727
드레스메이커,10075742,케이트 윈슬렛,배우,189962.35,8.107272727272727
트리플 9,10075742,케이트 윈슬렛,배우,189962.35,8.107272727272727
스티브 잡스,10075742,케이트 윈슬렛,배우,189962.35,8.107272727272727
드레스메이커,10075742,케이트 윈슬렛,배우,189962.35,8.107272727272727
트리플 9,10075742,케이트 윈슬렛,배우,189962.35,8.107272727272727
스티브 잡스,10036150,세스 로건,배우,171396.75,7.744285714285715
"로봇, 소리",20125825,이하늬,배우,2714667.272727273,7.446666666666666
달빛궁궐,20125825,이하늬,배우,2714667.272727273,7.446666666666666
침묵,20125825,이하늬,배우,2714667.272727273,7.446666666666666
부라더,20125825,이하늬,배우,2714667.272727273,7.446666666666666
"로봇, 소리",20125825,이하늬,배우,2714667.272727273,7.446666666666666
달빛궁궐,20125825,이하늬,배우,2714667.272727273,7.446666666666666
침묵,20125825,이하늬,배우,2714667.272727273,7.446666666666666
부라더,20125825,이하늬,배우,2714667.272727273,7.446666666666666
"로봇, 소리",20125825,이하늬,배우,2714667.272727273,7.446666666666666
달빛궁궐,20125825,이하늬,배우,2714667.272727273,7.446666666666666
침묵,20125825,이하늬,배우,2714667.272727273,7.446666666666666
부라더,20125825,이하늬,배우,2714667.272727273,7.446666666666666
"로봇, 소리",20125825,이하늬,배우,2714667.272727273,7.446666666666666
달빛궁궐,20125825,이하늬,배우,2714667.272727273,7.446666666666666
침묵,20125825,이하늬,배우,2714667.272727273,7.446666666666666
부라더,20125825,이하늬,배우,2714667.272727273,7.446666666666666
"로봇, 소리",20189746,김원해,배우,3617.0,1.39
"로봇, 소리",20210306,채수빈,배우,46427.5,6.76
"로봇, 소리",10040874,심은경,배우,1800874.0,6.998333333333334
널 기다리며,10040874,심은경,배우,1800874.0,6.998333333333334
서울역,10040874,심은경,배우,1800874.0,6.998333333333334
걷기왕,10040874,심은경,배우,1800874.0,6.998333333333334
조작된 도시,10040874,심은경,배우,1800874.0,6.998333333333334
특별시민,10040874,심은경,배우,1800874.0,6.998333333333334
염력,10040874,심은경,배우,1800874.0,6.998333333333334
궁합,10040874,심은경,배우,1800874.0,6.998333333333334
"로봇, 소리",10040874,심은경,배우,1800874.0,6.998333333333334
널 기다리며,10040874,심은경,배우,1800874.0,6.998333333333334
서울역,10040874,심은경,배우,1800874.0,6.998333333333334
걷기왕,10040874,심은경,배우,1800874.0,6.998333333333334
조작된 도시,10040874,심은경,배우,1800874.0,6.998333333333334
특별시민,10040874,심은경,배우,1800874.0,6.998333333333334
염력,10040874,심은경,배우,1800874.0,6.998333333333334
궁합,10040874,심은경,배우,1800874.0,6.998333333333334
"로봇, 소리",10040874,심은경,배우,1800874.0,6.998333333333334
널 기다리며,10040874,심은경,배우,1800874.0,6.998333333333334
서울역,10040874,심은경,배우,1800874.0,6.998333333333334
걷기왕,10040874,심은경,배우,1800874.0,6.998333333333334
조작된 도시,10040874,심은경,배우,1800874.0,6.998333333333334
특별시민,10040874,심은경,배우,1800874.0,6.998333333333334
염력,10040874,심은경,배우,1800874.0,6.998333333333334
궁합,10040874,심은경,배우,1800874.0,6.998333333333334
"로봇, 소리",10040874,심은경,배우,1800874.0,6.998333333333334
널 기다리며,10040874,심은경,배우,1800874.0,6.998333333333334
서울역,10040874,심은경,배우,1800874.0,6.998333333333334
걷기왕,10040874,심은경,배우,1800874.0,6.998333333333334
조작된 도시,10040874,심은경,배우,1800874.0,6.998333333333334
특별시민,10040874,심은경,배우,1800874.0,6.998333333333334
염력,10040874,심은경,배우,1800874.0,6.998333333333334
궁합,10040874,심은경,배우,1800874.0,6.998333333333334
"로봇, 소리",10040874,심은경,배우,1800874.0,6.998333333333334
널 기다리며,10040874,심은경,배우,1800874.0,6.998333333333334
서울역,10040874,심은경,배우,1800874.0,6.998333333333334
걷기왕,10040874,심은경,배우,1800874.0,6.998333333333334
조작된 도시,10040874,심은경,배우,1800874.0,6.998333333333334
특별시민,10040874,심은경,배우,1800874.0,6.998333333333334
염력,10040874,심은경,배우,1800874.0,6.998333333333334
궁합,10040874,심은경,배우,1800874.0,6.998333333333334
"로봇, 소리",10040874,심은경,배우,1800874.0,6.998333333333334
널 기다리며,10040874,심은경,배우,1800874.0,6.998333333333334
서울역,10040874,심은경,배우,1800874.0,6.998333333333334
걷기왕,10040874,심은경,배우,1800874.0,6.998333333333334
조작된 도시,10040874,심은경,배우,1800874.0,6.998333333333334
특별시민,10040874,심은경,배우,1800874.0,6.998333333333334
염력,10040874,심은경,배우,1800874.0,6.998333333333334
궁합,10040874,심은경,배우,1800874.0,6.998333333333334
"로봇, 소리",10040874,심은경,배우,1800874.0,6.998333333333334
널 기다리며,10040874,심은경,배우,1800874.0,6.998333333333334
서울역,10040874,심은경,배우,1800874.0,6.998333333333334
걷기왕,10040874,심은경,배우,1800874.0,6.998333333333334
조작된 도시,10040874,심은경,배우,1800874.0,6.998333333333334
특별시민,10040874,심은경,배우,1800874.0,6.998333333333334
염력,10040874,심은경,배우,1800874.0,6.998333333333334
궁합,10040874,심은경,배우,1800874.0,6.998333333333334
"로봇, 소리",10040874,심은경,배우,1800874.0,6.998333333333334
널 기다리며,10040874,심은경,배우,1800874.0,6.998333333333334
서울역,10040874,심은경,배우,1800874.0,6.998333333333334
걷기왕,10040874,심은경,배우,1800874.0,6.998333333333334
조작된 도시,10040874,심은경,배우,1800874.0,6.998333333333334
특별시민,10040874,심은경,배우,1800874.0,6.998333333333334
염력,10040874,심은경,배우,1800874.0,6.998333333333334
궁합,10040874,심은경,배우,1800874.0,6.998333333333334
쿵푸팬더3,10043730,안젤리나 졸리,배우,1297641.705882353,7.636666666666666
쿵푸팬더3,10010611,더스틴 호프만,배우,963818.5,7.791071428571429
세기의 매치,10080702,토비 맥과이어,배우,1811329.8,8.339090909090908
보스 베이비,10080702,토비 맥과이어,배우,1811329.8,8.339090909090908
세기의 매치,10080702,토비 맥과이어,배우,1811329.8,8.339090909090908
보스 베이비,10080702,토비 맥과이어,배우,1811329.8,8.339090909090908
세기의 매치,10019511,리브 슈라이버,배우,679507.125,7.364444444444445
스파이더맨: 뉴 유니버스,10019511,리브 슈라이버,배우,679507.125,7.364444444444445
세기의 매치,10019511,리브 슈라이버,배우,679507.125,7.364444444444445
스파이더맨: 뉴 유니버스,10019511,리브 슈라이버,배우,679507.125,7.364444444444445
세기의 매치,10019511,리브 슈라이버,배우,679507.125,7.364444444444445
스파이더맨: 뉴 유니버스,10019511,리브 슈라이버,배우,679507.125,7.364444444444445
세기의 매치,10085842,피터 사스가드,배우,71220.88888888889,7.19
검사외전,10000558,강동원,배우,3362394.9285714286,7.433333333333334
가려진 시간,10000558,강동원,배우,3362394.9285714286,7.433333333333334
마스터,10000558,강동원,배우,3362394.9285714286,7.433333333333334
골든슬럼버,10000558,강동원,배우,3362394.9285714286,7.433333333333334
인랑,10000558,강동원,배우,3362394.9285714286,7.433333333333334
검사외전,10000558,강동원,배우,3362394.9285714286,7.433333333333334
가려진 시간,10000558,강동원,배우,3362394.9285714286,7.433333333333334
마스터,10000558,강동원,배우,3362394.9285714286,7.433333333333334
골든슬럼버,10000558,강동원,배우,3362394.9285714286,7.433333333333334
인랑,10000558,강동원,배우,3362394.9285714286,7.433333333333334
검사외전,10000558,강동원,배우,3362394.9285714286,7.433333333333334
가려진 시간,10000558,강동원,배우,3362394.9285714286,7.433333333333334
마스터,10000558,강동원,배우,3362394.9285714286,7.433333333333334
골든슬럼버,10000558,강동원,배우,3362394.9285714286,7.433333333333334
인랑,10000558,강동원,배우,3362394.9285714286,7.433333333333334
검사외전,10000558,강동원,배우,3362394.9285714286,7.433333333333334
가려진 시간,10000558,강동원,배우,3362394.9285714286,7.433333333333334
마스터,10000558,강동원,배우,3362394.9285714286,7.433333333333334
골든슬럼버,10000558,강동원,배우,3362394.9285714286,7.433333333333334
인랑,10000558,강동원,배우,3362394.9285714286,7.433333333333334
검사외전,10000558,강동원,배우,3362394.9285714286,7.433333333333334
가려진 시간,10000558,강동원,배우,3362394.9285714286,7.433333333333334
마스터,10000558,강동원,배우,3362394.9285714286,7.433333333333334
골든슬럼버,10000558,강동원,배우,3362394.9285714286,7.433333333333334
인랑,10000558,강동원,배우,3362394.9285714286,7.433333333333334
캐롤,10075724,케이트 블란쳇,배우,797795.5384615384,7.5464
토르: 라그나로크,10075724,케이트 블란쳇,배우,797795.5384615384,7.5464
오션스8,10075724,케이트 블란쳇,배우,797795.5384615384,7.5464
벽 속에 숨은 마법시계,10075724,케이트 블란쳇,배우,797795.5384615384,7.5464
캐롤,10075724,케이트 블란쳇,배우,797795.5384615384,7.5464
토르: 라그나로크,10075724,케이트 블란쳇,배우,797795.5384615384,7.5464
오션스8,10075724,케이트 블란쳇,배우,797795.5384615384,7.5464
벽 속에 숨은 마법시계,10075724,케이트 블란쳇,배우,797795.5384615384,7.5464
캐롤,10075724,케이트 블란쳇,배우,797795.5384615384,7.5464
토르: 라그나로크,10075724,케이트 블란쳇,배우,797795.5384615384,7.5464
오션스8,10075724,케이트 블란쳇,배우,797795.5384615384,7.5464
벽 속에 숨은 마법시계,10075724,케이트 블란쳇,배우,797795.5384615384,7.5464
캐롤,10075724,케이트 블란쳇,배우,797795.5384615384,7.5464
토르: 라그나로크,10075724,케이트 블란쳇,배우,797795.5384615384,7.5464
오션스8,10075724,케이트 블란쳇,배우,797795.5384615384,7.5464
